StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTimeinvite-noauth(P);ResponseTimeinvite-noauth(C);ResponseTimeinvite-noauthStDev(P);ResponseTimeinvite-noauthStDev(C);ResponseTimebye(P);ResponseTimebye(C);ResponseTimebyeStDev(P);ResponseTimebyeStDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartitioninvite-noauth;ResponseTimeRepartitioninvite-noauth_<10;ResponseTimeRepartitioninvite-noauth_<20;ResponseTimeRepartitioninvite-noauth_<30;ResponseTimeRepartitioninvite-noauth_<40;ResponseTimeRepartitioninvite-noauth_<50;ResponseTimeRepartitioninvite-noauth_<75;ResponseTimeRepartitioninvite-noauth_<100;ResponseTimeRepartitioninvite-noauth_<150;ResponseTimeRepartitioninvite-noauth_<200;ResponseTimeRepartitioninvite-noauth_<300;ResponseTimeRepartitioninvite-noauth_>=300;ResponseTimeRepartitionbye;ResponseTimeRepartitionbye_<10;ResponseTimeRepartitionbye_<20;ResponseTimeRepartitionbye_<30;ResponseTimeRepartitionbye_<40;ResponseTimeRepartitionbye_<50;ResponseTimeRepartitionbye_<75;ResponseTimeRepartitionbye_<100;ResponseTimeRepartitionbye_<150;ResponseTimeRepartitionbye_<200;ResponseTimeRepartitionbye_<300;ResponseTimeRepartitionbye_>=300;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<20;CallLengthRepartition_<30;CallLengthRepartition_<40;CallLengthRepartition_<50;CallLengthRepartition_<75;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<200;CallLengthRepartition_<300;CallLengthRepartition_>=300;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:17:36.720452	1462627056.720452;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:17:36.720775	1462627056.720775;2016-05-07	15:18:36.728983	1462627116.728983;00:01:00;00:01:00;50;41.6611;41.6597;0;0;2500;2500;2500;0;2500;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:004000;00:00:00:004000;00:00:00:001000;00:00:00:001000;;2500;0;0;0;0;0;0;0;0;0;0;;2500;0;0;0;0;0;0;0;0;0;0;;2481;19;0;0;0;0;0;0;0;0;0;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:18:36.729120	1462627116.729120;2016-05-07	15:19:36.732592	1462627176.732592;00:01:00;00:02:00;50;49.9975;45.828;0;0;3000;5500;5500;0;3000;5500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;27;27;0;0;3;3;0;0;0;0;0;0;00:00:00:010000;00:00:00:005000;00:00:00:085000;00:00:00:063000;00:00:00:000000;00:00:00:000000;00:00:00:020000;00:00:00:014000;00:00:00:015000;00:00:00:010000;00:00:00:088000;00:00:00:065000;;5445;0;1;0;1;1;2;2;3;5;40;;5499;0;0;0;0;0;0;0;0;0;1;;5425;19;1;0;1;1;1;3;2;5;42;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:19:36.732752	1462627176.732752;2016-05-07	15:20:36.737273	1462627236.737273;00:01:00;00:03:00;50;50.0133;47.2228;0;0;3001;8501;8501;1;3000;8500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;27;0;0;0;3;0;0;0;0;0;0;00:00:00:000000;00:00:00:003000;00:00:00:000000;00:00:00:051000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:012000;00:00:00:004000;00:00:00:008000;00:00:00:001000;00:00:00:052000;;8446;0;1;0;1;1;2;2;3;5;40;;8499;0;0;0;0;0;0;0;0;0;1;;8425;19;1;0;1;1;1;3;2;5;42;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:20:36.737417	1462627236.737417;2016-05-07	15:21:36.736635	1462627296.736635;00:00:59;00:04:00;50;50.0008;47.9172;0;0;3000;11501;11501;0;3001;11501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;27;0;0;0;3;0;0;0;0;0;0;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:044000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:010000;00:00:00:004000;00:00:00:007000;00:00:00:001000;00:00:00:045000;;11446;0;1;0;1;1;2;2;3;5;40;;11500;0;0;0;0;0;0;0;0;0;1;;11426;19;1;0;1;1;1;3;2;5;42;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:21:36.736784	1462627296.736784;2016-05-07	15:22:36.740875	1462627356.740875;00:01:00;00:05:00;50;49.9967;48.3331;0;0;3000;14501;14501;0;3000;14501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;27;0;0;0;3;0;0;0;0;0;0;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:039000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:009000;00:00:00:004000;00:00:00:006000;00:00:00:001000;00:00:00:040000;;14446;0;1;0;1;1;2;2;3;5;40;;14500;0;0;0;0;0;0;0;0;0;1;;14426;19;1;0;1;1;1;3;2;5;42;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:22:36.741013	1462627356.741013;2016-05-07	15:23:36.744580	1462627416.744580;00:01:00;00:06:00;50;49.9975;48.6104;0;0;3000;17501;17501;0;3000;17501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;27;0;0;0;3;0;0;0;0;0;0;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:035000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:008000;00:00:00:004000;00:00:00:006000;00:00:00:001000;00:00:00:036000;;17446;0;1;0;1;1;2;2;3;5;40;;17500;0;0;0;0;0;0;0;0;0;1;;17426;19;1;0;1;1;1;3;2;5;42;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:23:36.744711	1462627416.744711;2016-05-07	15:24:36.744409	1462627476.744409;00:00:59;00:07:00;50;50.0008;48.8089;0;0;3000;20501;20501;0;3000;20501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;11;7;34;0;0;8;11;0;0;0;0;0;0;00:00:00:006000;00:00:00:002000;00:00:00:057000;00:00:00:039000;00:00:00:001000;00:00:00:000000;00:00:00:021000;00:00:00:011000;00:00:00:012000;00:00:00:007000;00:00:00:067000;00:00:00:042000;;20399;1;1;1;1;3;3;4;6;10;72;;20492;0;0;0;0;0;0;0;4;0;5;;20379;19;2;0;2;2;2;6;4;10;75;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:24:36.744553	1462627476.744553;2016-05-07	15:25:36.749026	1462627536.749026;00:01:00;00:08:00;50;49.9967;48.9574;0;0;3000;23501;23501;0;3000;23501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;34;0;0;0;11;0;0;0;0;0;0;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:037000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:010000;00:00:00:004000;00:00:00:007000;00:00:00:001000;00:00:00:039000;;23399;1;1;1;1;3;3;4;6;10;72;;23492;0;0;0;0;0;0;0;4;0;5;;23379;19;2;0;2;2;2;6;4;10;75;
2016-05-07	15:17:36.718114	1462627056.718114;2016-05-07	15:25:36.749154	1462627536.749154;2016-05-07	15:26:36.752706	1462627596.752706;00:01:00;00:09:00;50;50.0142;49.0747;0;0;3001;26502;26502;1;3000;26501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;34;0;0;0;11;0;0;0;0;0;0;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:034000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:009000;00:00:00:004000;00:00:00:006000;00:00:00:001000;00:00:00:037000;;26400;1;1;1;1;3;3;4;6;10;72;;26492;0;0;0;0;0;0;0;4;0;5;;26379;19;2;0;2;2;2;6;4;10;75;
